Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Military expenditure (current USD),MS.MIL.XPND.CD,Germany,DEU,39834666879.765,26497593164.3887,45163212878.2034,43798225349.2896,44242647302.8936,44662831167.6836,38170021071.3098,39855047309.425,42210258091.0503,46423020903.4147,49007512315.2709,52764761199.1337
Military expenditure (current USD),MS.MIL.XPND.CD,Ghana,GHA,27612553.5020052,50882608.2408578,234327479.578,337260972.703278,254997057.393618,252653833.716615,190540362.002907,161751874.263817,189129841.490359,218444253.592195,233320137.038447,239887164.283223
Military expenditure (current USD),MS.MIL.XPND.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Greece,GRC,3193376484.06783,4564522446.23907,7128608267.12819,5914988423.39784,5655183035.72021,5531285908.87966,4818121326.3835,4963484464.40452,5088178883.21225,5757114360.91734,5471562919.83878,5301379231.73373
Military expenditure (current USD),MS.MIL.XPND.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Guatemala,GTM,132196105.007847,157848092.786958,197433150.684228,224366543.649735,249757853.378152,245672875.883208,252455480.635391,290912704.00085,275014798.544949,273114976.844026,331882551.643497,342766481.025774
Military expenditure (current USD),MS.MIL.XPND.CD,Guinea,GIN,..,45967931.2141144,..,168913357.467903,196818705.594191,196945589.753241,221414232.310207,161856744.453218,181637775.870545,197079526.352476,197754330.707634,209670400.432057
Military expenditure (current USD),MS.MIL.XPND.CD,Guinea-Bissau,GNB,..,9531360.60766093,17519804.3512353,24491750.6811589,21710792.6483686,21470831.2086587,17036957.2925502,15730078.4677087,19021935.3520215,20139128.8075085,22571242.3074691,23306688.4459659
Military expenditure (current USD),MS.MIL.XPND.CD,Guyana,GUY,3589328.49015893,12585649.2901387,32416747.5418836,33542606.6021394,35163485.7882898,39280967.4697968,46430508.4745763,51562130.8232153,59510895.8837772,61745465.9624678,67206937.7130284,66016858.3401902
Military expenditure (current USD),MS.MIL.XPND.CD,Haiti,HTI,2670400,..,..,..,51595.8474833651,53511.5950974341,73562.2968921463,64514.316605567,73613.4924622762,139683.881629034,113017.489484171,263808.847832535
Military expenditure (current USD),MS.MIL.XPND.CD,Honduras,HND,67120949.0318533,52462396.8947113,200358405.886737,212341274.317769,294917779.408168,314071900.220103,356266320.955644,363272338.525911,398460128.382474,385320064.206471,407390257.832898,402659082.62018
Military expenditure (current USD),MS.MIL.XPND.CD,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Hungary,HUN,847389246.889926,715857664.815596,1472069831.63811,1322277702.75073,1280050962.2477,1209801890.21288,1132476291.73782,1288676093.1676,1463013911.22308,1791545364.63643,2051055453.463,2409532347.22845
Military expenditure (current USD),MS.MIL.XPND.CD,Iceland,ISL,0,0,0,0,0,0,0,0,0,0,0,0
Military expenditure (current USD),MS.MIL.XPND.CD,India,IND,10537035450.0528,14287514240.7035,49633815793.7027,47216920048.2061,47403528801.4226,50914096277.083,51295483753.9436,56637622640.8741,64559435280.6927,66257801718.275,71468900524.3041,72887446604.3041
Military expenditure (current USD),MS.MIL.XPND.CD,Indonesia,IDN,1613975396.26983,1129542839.56935,5838026185.71723,6531097955.28321,8384028600.92532,6929248704.20671,7595030527.64333,7396626074.68605,8797528449.54204,7556824710.98018,9003028193.20478,9395529531.38874
Military expenditure (current USD),MS.MIL.XPND.CD,"Iran, Islamic Rep.",IRN,16474401698.2345,8327053824.36261,14277667360.5682,16493963286.9287,11997186984.0994,9901118855.30265,10588769670.8684,12263957414.6216,13931196489.7975,11230852287.9331,12528450210.9134,15825143121.2886
Military expenditure (current USD),MS.MIL.XPND.CD,Iraq,IRQ,..,..,4278632478.63248,4141066053.83435,7780188679.24528,6923644082.33276,9604231010.85097,5970383697.66942,7416385135.13514,6317977150.05254,7598829335.74537,7015558808.23282
Military expenditure (current USD),MS.MIL.XPND.CD,Ireland,IRL,594006010.402921,694674774.276764,1300331547.01086,1157531729.65486,1195763444.3723,1192733691.2242,997005655.983143,1001610418.29936,1025063447.41951,1107137377.09949,1112740707.56829,1144420380.71355
Military expenditure (current USD),MS.MIL.XPND.CD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Israel,ISR,6528767331.23656,8327543752.99401,15163227719.5071,14600665988.9209,16324818043.8467,17810043530.8174,16516787444.7923,17488176165.0017,19434129702.3181,19759173450.6567,20504377104.3771,21704453488.3721
Military expenditure (current USD),MS.MIL.XPND.CD,Italy,ITA,20734625578.569,19878720932.3752,33828804971.12,29781008205.1256,29957445904.5168,27701034334.9422,22180845070.4225,25033027894.6754,26447892915.4274,28420098438.4406,26380673981.1912,28921342756.1837
Military expenditure (current USD),MS.MIL.XPND.CD,Jamaica,JAM,38609944.5575812,43566232.4912703,133638559.827692,137635505.668112,128431323.011542,121310243.549976,123854135.722601,137649061.819234,143545555.4269,209675820.865544,265261723.786393,244432800.536325
Military expenditure (current USD),MS.MIL.XPND.CD,Japan,JPN,28800451682.4134,45509673827.3094,60762213840.8911,60011530194.6974,49023932406.8581,46903466612.5187,42106103305.7928,46471287714.246,45387031801.8653,46617954863.9536,47609019987.3417,49148557003.2878
Military expenditure (current USD),MS.MIL.XPND.CD,Jordan,JOR,322429005.351719,529337094.499295,1594788732.39437,1472816901.40845,1444929577.46479,1548873239.43662,1614929577.46479,1769436619.71831,1939718309.85915,1957746478.87324,2032112676.05634,2077042253.52113
Military expenditure (current USD),MS.MIL.XPND.CD,Kazakhstan,KAZ,..,143527541.105866,1803970781.81161,2177543205.48846,2551124374.70831,2306468864.80956,2046197674.3312,1281103431.97917,1390619095.25397,1572401181.96767,1928776022.28785,1732917214.19185
Military expenditure (current USD),MS.MIL.XPND.CD,Kenya,KEN,246456438.633547,165584735.249522,646678106.716751,840072589.956654,860560896.114738,819042626.799535,843667802.797011,933103002.549572,1015384781.9759,1113648361.6452,1116872419.91312,1106217543.59605
Military expenditure (current USD),MS.MIL.XPND.CD,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,824444444.444444,869629629.62963,912592592.592593,961481481.481482,1604444444.44444,..,..
